degree,heu,ind,frq,dur,tim,agg
0,0.953864189,0.777360257,0.784172856,0.59144813,0.941091147,0.809587316
0.029,0.954620617,0.749184535,0.756698451,0.446134391,0.916907587,0.764709116
0.057,0.953684023,0.743453387,0.713112522,0.352485102,0.892414029,0.731029813
0.086,0.954470574,0.72999771,0.721315968,0.344916154,0.860495005,0.722239082
0.114,0.953145593,0.742214694,0.683202105,0.283745213,0.8396955,0.700400621
0.143,0.954725215,0.728830714,0.67630499,0.268738729,0.829358779,0.691591685
0.171,0.954141604,0.723083828,0.668225615,0.23585172,0.813445492,0.678949652
0.2,0.954023779,0.732234976,0.641024142,0.200102609,0.789243348,0.663325771
0.229,0.954524221,0.74021166,0.619066321,0.188742516,0.77664457,0.655837858
0.257,0.953295831,0.730153412,0.60901459,0.180143168,0.763818269,0.647285054
0.286,0.953492737,0.721263668,0.574083984,0.169554858,0.747919922,0.633263034
0.314,0.952235514,0.74250965,0.568212892,0.170399871,0.731463771,0.63296434
0.343,0.955240607,0.738008709,0.570974788,0.16370817,0.721652944,0.629917043
0.371,0.954428026,0.734047963,0.568487371,0.176944883,0.717466962,0.630275041
0.4,0.954748724,0.744931172,0.51914647,0.19447832,0.706249625,0.623910862
0.429,0.953157546,0.737420831,0.533774761,0.176462813,0.694129522,0.618989094
0.457,0.955537363,0.747721775,0.527354255,0.159586114,0.672749791,0.61258986
0.486,0.951193967,0.74470317,0.49659507,0.167592333,0.667171618,0.605451232
0.514,0.952086228,0.742238123,0.458768306,0.167834444,0.656585067,0.595502434
0.543,0.953575597,0.742546697,0.480409946,0.162632462,0.648778639,0.597588668
0.571,0.951828276,0.74421487,0.461703785,0.178271108,0.644099963,0.5960236
0.6,0.952068413,0.720773025,0.443493411,0.188977523,0.630727419,0.587207958
0.629,0.953963191,0.7417779,0.44607911,0.185357162,0.624726633,0.590380799
0.657,0.95272284,0.734688632,0.420204517,0.190875257,0.618740875,0.583446424
0.686,0.954332355,0.731888746,0.429063957,0.192055908,0.615003709,0.584468935
0.714,0.953182575,0.725900282,0.409522889,0.194160401,0.607386371,0.578030504
0.743,0.952499618,0.736784125,0.398325511,0.194379417,0.596496588,0.575697052
0.771,0.953013742,0.749232613,0.41889544,0.176388893,0.592994578,0.578105053
0.8,0.954232507,0.737498494,0.382213002,0.174209162,0.589962818,0.567623197
0.829,0.953745839,0.733300691,0.386706967,0.187978447,0.593831442,0.571112677
0.857,0.955139047,0.741241965,0.357033254,0.188721484,0.583688235,0.565164797
0.886,0.953621258,0.739462337,0.347136263,0.185320337,0.580708991,0.561249837
0.914,0.952072061,0.738692038,0.3554625,0.190057482,0.570654849,0.561387786
0.943,0.952585188,0.735902702,0.350985763,0.173349234,0.568659337,0.556296445
0.971,0.953494805,0.756478921,0.326705383,0.18607584,0.565802015,0.557711393
1,0.952827664,0.735776129,0.315669502,0.172560838,0.56192131,0.547751089
